Unique_ID	Experiment_ID	TF_Entrez_ID	Target_Entrez_ID	TF_Gene_Name	Target_Gene_Name	PubMed_ID	Experiment_Type	Context_Type	Cell_Type	Cell_Name	Age	Notes	Already in one of the sub-sheets?	Date	Curator	Peer Check
17	EXP_015	18508	18508	Pax6	Pax6	26138486	TF-Perturbation	Primary tissue	UBERON:0000966	lens	E9.5		YES		WIlson	yes
18	EXP_016	18508	19130	Pax6	Prox1	26138486	TF-Perturbation	Primary tissue	UBERON:0000966	lens	E9.5		YES		WIlson	yes
19	EXP_017	18508	11924	Pax6	Neurog2	26138486	TF-Perturbation	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
20	EXP_018	18508	242523	Pax6	Dmrta1	26138486	TF-Perturbation	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
21	EXP_019	18508	17172	Pax6	Ascl1	26138486	TF-Perturbation	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
22	EXP_020	18508	54713	Pax6	Fezf2	26138486	TF-Perturbation	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
23	EXP_021	18508	14843	Pax6	Gsx2	26138486	TF-Perturbation	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
25	EXP_022	18508	270190	Pax6	Ephb1	26138486	TF-Perturbation	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
112	EXP_023	18508	13797	Pax6	Emx2	26138486	TF-Perturbation	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
113	EXP_024	18508	18508	Pax6	Pax6	26138486	TF-Perturbation	Primary tissue	UBERON:0001890	forebrain	E12.5		YES		WIlson	yes
29	EXP_028	18508	11924	Pax6	Neurog2	12783797	TF-DNA Binding	In Vitro	Not Applicable	n/a	Not Applicable		YES		Taylor	yes
30	EXP_029	18508	11924	Pax6	Neurog2	12783797	TF-Reporter	Primary Tissue	UBERON:0002240	spinal cord	E10.5		YES		Taylor	yes
32	EXP_030	18508	11924	Pax6	Neurog2	12783797	TF-Reporter	Primary Tissue	UBERON_0001049	neural tube	E1.5		YES		Taylor	yes
50	EXP_032	18741	15223	Pitx2	Foxj1	18723525	TF-DNA Binding	Cell line	LS-8 cell		Not applicable		YES		Joey	yes
51	EXP_033	18741	15223	Pitx2	Foxj1	18723525	TF Perturbation	Primary cells	CL:0000057	fibroblast	P1		YES		Joey	yes
52	EXP_034	18741	15223	Pitx2	Foxj1	18723525	TF-Reporter	Cell line	CLO:0002421	CHO cells	Not applicable		YES		Joey	yes
53	EXP_035	20848	18817	Stat3	Plk1	22108192	TF Perturbation	Cell line	CLO:0008172	NIH3T3 cells	Not applicable		YES		Joey	yes
54	EXP_036	6774	5347	STAT3	PLK1	22108192	TF-DNA Binding	Cell line	CLO:0007135	KYSE510 cells	Not applicable		YES		Joey	yes
55	EXP_037	20848	18817	Stat3	Plk1	22108192	TF-Reporter	Cell line	CLO:0008172	NIH3T3 cells	Not applicable		YES		Joey	yes
56	EXP_038	18817	20848	Plk1	Stat3	22108192	TF Perturbation	Cell line	CLO:0008172	NIH3T3 cells	Not applicable		YES		Joey	yes
58	EXP_040	18508	20511	Pax6	Slc1a2	26485579	TF Perturbation	Primary Cells	CL:0000127	astrocyte	P1-2		YES		Taylor	YES
59	EXP_041	18508	20511	Pax6	Slc1a2	26485579	TF Perturbation	Primary Cells	CL:0000127	astrocyte	P1-2		YES		Taylor	YES
61	EXP_043	18508	20511	Pax6	Slc1a2	26485579	TF-DNA Binding	In Vitro	Not Applicable		Not applicable		YES		Taylor	YES
62	EXP_044	18508	20511	Pax6	Slc1a2	26485579	TF-DNA Binding	Primary Tissue	UBERON:0001851	cortex	P45		YES		Taylor	YES
67	EXP_049	18508	20674	Pax6	Sox2	18287938	TF Perturbation	Primary Tissue	UBERON:0014940	subventricular zone	E18.5		YES		Joey	
68	EXP_050	18508	20674	Pax6	Sox2	18287938	TF-Reporter	Cell line	CLO:0008172		Not applicable		YES		Joey	
69	EXP_051	18508	20674	Pax6	Sox2	18287938	TF-DNA Binding	Primary Tissue	UBERON:0014940	subventricular zone	E18.5		YES		Joey	
70	EXP_052	18508	18741	Pax6	Pitx2	27771509	TF Perturbation	Primary Tissue	UBERON:0003072	optic cup	E12.5		YES		Joey	
71	EXP_053	18508	18741	Pax6	Pitx2	27771509	TF Perturbation	Primary Tissue	UBERON:0003072	optic cup	E14.5		YES		Joey	
72	EXP_054	18508	18741	Pax6	Pitx2	27771509	TF Perturbation	Primary Tissue	UBERON:0003072	optic cup	E16.5		YES		Joey	
73	EXP_055	18508	17300	Pax6	Foxc1	27771509	TF Perturbation	Primary Tissue	UBERON:0003072	optic cup	E12.5		YES		Joey	
74	EXP_056	18508	17300	Pax6	Foxc1	27771509	TF Perturbation	Primary Tissue	UBERON:0003072	optic cup	E14.5		YES		Joey	
75	EXP_057	18508	17300	Pax6	Foxc1	27771509	TF Perturbation	Primary Tissue	UBERON:0003072	optic cup	E16.5		YES		Joey	
76	EXP_058	18508	21808	Pax6	Tgfb2	27771509	TF Perturbation	Primary Tissue	UBERON:0003072	optic cup	E12.5		YES		Joey	
77	EXP_059	18508	21808	Pax6	Tgfb2	27771509	TF Perturbation	Primary Tissue	UBERON:0003072	optic cup	E14.5		YES		Joey	
78	EXP_060	18508	21808	Pax6	Tgfb2	27771509	TF Perturbation	Primary Tissue	UBERON:0003072	optic cup	E16.5		YES		Joey	
79	EXP_061	18508	12159	Pax6	Bmp4	27771509	TF Perturbation	Primary Tissue	UBERON:0003072	optic cup	E12.5		YES		Joey	
80	EXP_062	18508	12159	Pax6	Bmp4	27771509	TF Perturbation	Primary Tissue	UBERON:0003072	optic cup	E14.5		YES		Joey	
81	EXP_063	18508	12159	Pax6	Bmp4	27771509	TF Perturbation	Primary Tissue	UBERON:0003072	optic cup	E16.5		YES		Joey	
82	EXP_064	18508	18741	Pax6	Pitx2	27771509	TF-DNA Binding	Primary Tissue	UBERON:0000970	eye	E12.5		YES		Joey	
83	EXP_065	18508	17300	Pax6	Foxc1	27771509	TF-DNA Binding	Primary Tissue	UBERON:0000970	eye	E12.5		YES		Joey	
84	EXP_066	18508	21808	Pax6	Tgfb2	27771509	TF-DNA Binding	Primary Tissue	UBERON:0000970	eye	E12.5		YES		Joey	
85	EXP_067	18508	12159	Pax6	Bmp4	27771509	TF-DNA Binding	Primary Tissue	UBERON:0000970	eye	E16.5		YES		Joey	
86	EXP_068	18508	12159	Pax6	Bmp4	27771509	TF-Reporter	Cell line	CLO:0002597		Not applicable		YES		Joey	
87	EXP_069	18508	21808	Pax6	Tgfb2	27771509	TF-Reporter	Cell line	CLO:0002597		Not applicable		YES		Joey	
88	EXP_070	18508	17300	Pax6	Foxc1	27771509	TF-Reporter	Cell line	CLO:0002597		Not applicable		YES		Joey	
89	EXP_071	5080	367	PAX6	AR	21935435	TF-Reporter	Cell line	CLO:0037116		Not applicable		YES		Joey	
90	EXP_072	6942	367	TCF20	AR	21935435	TF-Reporter	Cell line	CLO:0001230		Not applicable		YES		Joey	
91	EXP_073	5080	367	PAX6	AR	21935435	TF-Reporter	Cell line	CLO:0001230		Not applicable		YES		Joey	
92	EXP_074	5080	367	PAX6	AR	21935435	TF-DNA Binding	Cell line	CLO:0003684		Not applicable		YES		Joey	
93	EXP_075	6942	367	TCF20	AR	21935435	TF-DNA Binding	Cell line	CLO:0003684		Not applicable		YES		Joey	
94	EXP_076	6942	367	TCF20	AR	21935435	TF Perturbation	Cell line	CLO:0037116		Not applicable		YES		Joey	
98	EXP_080	18508	20440	Pax6	St6gal1	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
99	EXP_081	18508	54613	Pax6	St3gal6	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
100	EXP_082	26574	207	AATF	AKT1	19911006	TF-Reporter	Cell line	BTO_0003958	Neuro2A-Luc	Not applicable		YES		Wilson	
101	EXP_083	26574	207	AATF	AKT1	19911006	TF-Perturbation	Cell line	BTO_0003958	Neuro2A-Luc	Not applicable		YES		Wilson	
163	EXP_084	6774	207	STAT3	AKT1	19911006	TF-Reporter	Cell line	BTO_0003958	Neuro2A-Luc	Not applicable		YES		Wilson	
164	EXP_085	6774	207	STAT3	AKT1	19911006	TF-DNA Binding	Cell line	BTO_0003958	Neuro2A-Luc	Not applicable		YES		Wilson	
102	EXP_086	472	26574	ATM	AATF	17157788	TF-Perturbation	Cell line	CLO_0003665	HCT 116	Not applicable		YES		Wilson	
103	EXP_087	11200	26574	CHEK2	AATF	17157788	TF-Perturbation	Cell line	CLO_0003665	HCT 116	Not applicable		YES		Wilson	
104	EXP_088	26574	22059	AATF	Trp53	17157788	TF-Perturbation	Cell line	BTO_0000944	NIH-3T3	Not applicable		YES		Wilson	
105	EXP_089	26574	12452	AATF	Ccng2	17157788	TF-Perturbation	Cell line	BTO_0000944	NIH-3T3	Not applicable		YES		Wilson	
106	EXP_090	26574	19734	AATF	Rgs16	17157788	TF-Perturbation	Cell line	BTO_0000944	NIH-3T3	Not applicable		YES		Wilson	
107	EXP_091	26574	22634	AATF	Plagl1	17157788	TF-Perturbation	Cell line	BTO_0000944	NIH-3T3	Not applicable		YES		Wilson	
108	EXP_092	26574	12575	AATF	Cdkn1a	17157788	TF-Perturbation	Cell line	BTO_0000944	NIH-3T3	Not applicable		YES		Wilson	
109	EXP_093	26574	60599	AATF	Trp53inp1	17157788	TF-Perturbation	Cell line	BTO_0000944	NIH-3T3	Not applicable		YES		Wilson	
110	EXP_094	26574	22059	AATF	Trp53	17157788	TF-Reporter	Cell line	CLO_0003665	HCT 116	Not applicable		YES		Wilson	
111	EXP_095	26574	7157	AATF	TP53	17157788	TF-Reporter	Cell line	CLO_0003665	HCT 116	Not applicable		YES		Wilson	
114	EXP_096	26574	22059	AATF	Trp53	17157788	TF-DNA binding	Cell line	CLO_0003665	HCT 116	Not applicable		YES		Wilson	
115	EXP_097	26574	12575	AATF	Cdkn1a	17157788	TF-DNA binding	Cell line	CLO_0003665	HCT 116	Not applicable		YES		Wilson	
116	EXP_098	26574	3817	AATF	KLK2	23146908	TF-Perturbation	Cell line	CLO_0007365	LNCAP	Not applicable		YES		Wilson	
117	EXP_099	7251	3817	TSG101	KLK2	23146908	TF-Perturbation	Cell line	CLO_0007365	LNCAP	Not applicable		YES		Wilson	
118	EXP_100	1613	3817	DAPK3	KLK2	23146908	TF-Perturbation	Cell line	CLO_0007365	LNCAP	Not applicable		YES		Wilson	
171	EXP_101	367	3817	AR	KLK2	23146908	TF-DNA binding	Cell line	CLO_0007365	LNCAP	Not applicable		YES		Wilson	
180	EXP_102	1613	3817	DAPK3	KLK2	23146908	TF-DNA binding	Cell line	CLO_0007365	LNCAP	Not applicable		YES		Wilson	
181	EXP_103	26574	3817	AATF	KLK2	23146908	TF-DNA binding	Cell line	CLO_0007365	LNCAP	Not applicable		YES		Wilson	
182	EXP_104	7251	3817	TSG101	KLK2	23146908	TF-DNA binding	Cell line	CLO_0007365	LNCAP	Not applicable		YES		Wilson	
167	EXP_105	26574	354	AATF	KLK3	23146908	TF-Perturbation	Cell line	CLO_0007365	LNCAP	Not applicable		YES		Wilson	
168	EXP_106	7251	354	TSG101	KLK3	23146908	TF-Perturbation	Cell line	CLO_0007365	LNCAP	Not applicable		YES		Wilson	
169	EXP_107	1613	354	DAPK3	KLK3	23146908	TF-Perturbation	Cell line	CLO_0007365	LNCAP	Not applicable		YES		Wilson	
119	EXP_108	18508	53618	Pax6	Fut8	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
120	EXP_109	18508	17309	Pax6	Mgat3	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
121	EXP_110	18508	14537	Pax6	Gcnt1	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
122	EXP_111	18508	14538	Pax6	Gcnt2	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
123	EXP_112	18508	394432	Pax6	Ugt1a7c	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
124	EXP_113	18508	56693	Pax6	Crtap	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
125	EXP_114	18508	14219	Pax6	Ccn2	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
126	EXP_115	18508	21810	Pax6	Tgfbi	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
128	EXP_117	18508	12562	Pax6	Cdh5	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
131	EXP_120	20473	18508	Six3	Pax6	17066077	TF Perturbation	Primary Tissue	UBERON:0006601	presumptive lens ectoderm	E9.5		YES		Taylor	YES
132	EXP_121	20473	20674	Six3	Sox2	17066077	TF Perturbation	Primary Tissue	UBERON:0006601	presumptive lens ectoderm	E9.5		YES		Taylor	yes
133	EXP_122	20473	18508	Six3	Pax6	17066077	TF-DNA binding	In vitro	Not applicable		Not applicable		YES		Taylor	yes
134	EXP_123	20473	20674	Six3	Sox2	17066077	TF-DNA binding	In vitro	Not applicable		Not applicable		YES		Taylor	yes
135	EXP_124	20473	18508	Six3	Pax6	17066077	TF-DNA binding	Primary Tissue	UBERON:0008816	head	E8.5		YES		Taylor	yes
136	EXP_125	20473	20674	Six3	Sox2	17066077	TF-DNA binding	Primary Tissue	UBERON:0008816	head	E8.5		YES		Taylor	yes
137	EXP_126	20473	20674	Six3	Pax6	17066077	TF-Reporter	Cell line	BTO:0000298		Not Applicable		YES		Taylor	yes
138	EXP_127	20473	20674	Six3	Sox2	17066077	TF-Reporter	Cell line	BTO:0000298		Not Applicable		YES		Taylor	yes
139	EXP_128	18508	12958	Pax6	Cryba2	21998302	TF Perturbation	Primary Tissue	UBERON:0000965	lens	E15.5		YES		Taylor	yes
140	EXP_129	18508	18591	Pax6	Pdgfb	22384097	TF-DNA Binding	Cell Line	CLO:0001344	3T3	Not Applicable		YES		Taylor	yes
142	EXP_130	18508	53972	Pax6	Ngef	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
143	EXP_131	18508	13844	Pax6	Ephb2	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
144	EXP_132	18508	18596	Pax6	Pdgfrb	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
145	EXP_133	18508	13614	Pax6	Edn1	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
146	EXP_134	18508	259277	Pax6	Klk8	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
147	EXP_135	18508	18049	Pax6	Ngf	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
148	EXP_136	18508	50781	Pax6	Dkk3	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
149	EXP_137	18508	17965	Pax6	Nbl1	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
150	EXP_138	18508	3006	Pax6	H1-2	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
151	EXP_139	18508	56693	Pax6	Crtap	22384097	TF-DNA Binding	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
152	EXP_140	18508	14219	Pax6	Ccn2	22384097	TF-DNA Binding	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
153	EXP_141	18508	13614	Pax6	Edn1	22384097	TF-DNA Binding	Cell Line	CLO:0001345	3T3	Not Applicable		YES		Taylor	yes
154	EXP_142	18508	17967	Pax6	Ncam1	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable	Pax6(5a) isoform	YES		Taylor	yes
155	EXP_143	18508	20698	Pax6	Sphk1	22384097	TF Perturbation	Cell Line	CLO:0001345	3T3	Not Applicable	Pax6(5a) isoform	YES		Taylor	yes
156	EXP_144	18508	53972	Pax6	Ngef	22384097	TF-DNA Binding	Cell Line	CLO:0001345	3T3	Not Applicable	Pax6(5a) isoform	YES		Taylor	yes
157	EXP_145	18508	50781	Pax6	Dkk3	22384097	TF-DNA Binding	Cell Line	CLO:0001345	3T3	Not Applicable	Pax6(5a) isoform	YES		Taylor	yes
158	EXP_146	18508	12959	Pax6	Cryba4	21998302	TF Perturbation	Primary Tissue	UBERON:0000965	lens	E15.5		YES		Taylor	yes
159	EXP_147	18508	12960	Pax6	Crybb1	21998302	TF Perturbation	Primary Tissue	UBERON:0000965	lens	E15.5		YES		Taylor	yes
160	EXP_148	18508	18549	Pax6	Pcsk2	24047795	TF Perturbation	Primary Tissue	UBERON:0000006	Pancreatic islets	Unknown		YES		Joey	
161	EXP_149	18508	18549	Pax6	Pcsk2	24047795	TF Perturbation	Cell Line	CLO:0008175	NIT-1	Not Applicable		YES		Joey	
162	EXP_150	18508	18549	Pax6	Pcsk2	24047795	TF-DNA binding	Cell Line	CLO:0008175	NIT-1	Not Applicable		YES		Joey	
165	EXP_151	18508	18549	Pax6	Pcsk2	24047795	TF-DNA binding	In vitro	Not applicable	Not Applicable	Not Applicable		YES		Joey	
166	EXP_152	10664	5080	CTCF	PAX6	16723452	TF-DNA binding	In vitro	Not applicable	Not Applicable	Not Applicable		YES		Joey	
172	EXP_153	10664	5080	CTCF	PAX6	16723452	TF-Reporter	Primary Cells	CL:0000575	Corneal epithelial cells	Unknown		YES		Joey	
173	EXP_154	10664	5080	CTCF	PAX6	16723452	TF-DNA binding	In vitro	Not applicable	Not Applicable	Not Applicable		YES		Joey	
174	EXP_155	5080	6496	PAX6	SIX3	11554737	TF-Reporter	Cell Line	CLO:0001230	HEK293	Not Applicable		YES		Joey	
175	EXP_156	5629	6496	PROX1	SIX3	11554737	TF-Reporter	Cell Line	BTO:0003072	Lens epithelial cell line	Not Applicable		YES		Joey	
176	EXP_157	6496	6496	SIX3	SIX3	11554737	TF-Reporter	Cell Line	CLO:0001230	HEK293	Not Applicable		YES		Joey	
177	EXP_158	4488	6496	MSX2	SIX3	11554737	TF-Reporter	Cell Line	CLO:0001230	HEK293	Not Applicable		YES		Joey	
178	EXP_159	5080	2173	PAX6	FABP7	22583899	TF-Reporter	Cell Line	EFO:0005237	U-87	Not Applicable		YES		Wilson	
179	EXP_160	5080	2173	PAX6	FABP7	22583899	TF Perturbation	Cell Line	M103 Cell	M103	Not Applicable		YES		Wilson	
183	EXP_161	5080	2173	PAX6	FABP7	22583899	TF-DNA binding	In vitro	Not applicable		Not Applicable		YES		Wilson	
184	EXP_162	18508	12957	Pax6	Cryba1	21998302	TF Perturbation	Primary Tissue	UBERON:0000965	lens	E15.5		YES		Taylor	yes
185	EXP_163	18508	12955	Pax6	Cryab	21998302	TF Perturbation	Primary Tissue	UBERON:0000965	lens	E15.5		YES		Taylor	yes
186	EXP_164	18508	12954	Pax6	Cryaa	21998302	TF Perturbation	Primary Tissue	UBERON:0000965	lens	E15.5		YES		Taylor	yes
187	EXP_165	18508	17132	Pax6	Maf	21998302	TF Perturbation	Primary Tissue	UBERON:0003073	lens placode	E9.5		YES		Taylor	yes
188	EXP_166	18508	17132	Pax6	Maf	21998302	TF-Reporter	Primary Tissue	UBERON:0000965	lens	E10.5		YES		Taylor	yes
189	EXP_167	18508	17132	Pax6	Maf	21998302	TF-Reporter	Primary Tissue	UBERON:0000965	lens	E11.5		YES		Taylor	yes
190	EXP_168	18508	17132	Pax6	Maf	21998302	TF-Reporter	Primary Tissue	UBERON:0000965	lens	E12.5		YES		Taylor	yes
191	EXP_169	18508	17132	Pax6	Maf	21998302	TF-Reporter	Primary Tissue	UBERON:0000965	lens	E14.5		YES		Taylor	yes
192	EXP_170	18508	17132	Pax6	Maf	21998302	TF-DNA Binding	In vitro	Not Applicable	n/a	Not Applicable		YES		Taylor	yes
193	EXP_171	18508	17132	Pax6	Maf	21998302	TF Perturbation	Primary Tissue	UBERON:0000965	lens	E15.5		YES		Taylor	yes
194	EXP_172	18508	17132	Pax6	Maf	21998302	TF Perturbation	Primary Tissue	UBERON:0000965	lens	P1		YES		Taylor	yes
195	EXP_173	442920	581	MIR196B	BAX	20549547	TF Perturbation	Cell Line	CLO_0002874	EB-3	Not Applicable		YES		Wilson	
196	EXP_174	442920	26574	MIR196B	AATF	20549547	TF Perturbation	Cell Line	CLO_0002874	EB-3	Not Applicable		YES		Wilson	
197	EXP_175	442920	596	MIR196B	BCL2	20549547	TF Perturbation	Cell Line	CLO_0002874	EB-3	Not Applicable		YES		Wilson	
198	EXP_176	442920	7015	MIR196B	TERT	20549547	TF Perturbation	Cell Line	CLO_0002874	EB-3	Not Applicable		YES		Wilson	
199	EXP_177	442920	4609	MIR196B	MYC	20549547	TF Perturbation	Cell Line	CLO_0002874	EB-3	Not Applicable		YES		Wilson	
200	EXP_178	442893	7015	MIR151A	TERT	20549547	TF Perturbation	Cell Line	CLO_0002874	EB-3	Not Applicable		YES		Wilson	
201	EXP_179	442893	596	MIR151A	BCL2	20549547	TF Perturbation	Cell Line	CLO_0002874	EB-3	Not Applicable		YES		Wilson	
202	EXP_180	406940	7015	MIR148A	TERT	20549547	TF Perturbation	Cell Line	CLO_0002874	EB-3	Not Applicable		YES		Wilson	
203	EXP_181	406940	596	MIR148A	BCL2	20549547	TF Perturbation	Cell Line	CLO_0002874	EB-3	Not Applicable		YES		Wilson	
204	EXP_182	18508	13003	Pax6	Vcan	19132093	TF Perturbation	Primary Tissue	UBERON:0000965	lens	P1		YES		Taylor	yes
205	EXP_183	18508	16011	Pax6	Igfbp5	19132093	TF Perturbation	Primary Tissue	UBERON:0000965	lens	P1		YES		Taylor	yes
206	EXP_184	18508	23937	Pax6	Mab21l2	19132093	TF Perturbation	Primary Tissue	UBERON:0000965	lens	P1		YES		Taylor	yes
207	EXP_185	18508	11819	Pax6	Nr2f2	19132093	TF Perturbation	Primary Tissue	UBERON:0000965	lens	P1		YES		Taylor	yes
208	EXP_186	18508	229759	Pax6	Olfm3	19132093	TF Perturbation	Primary Tissue	UBERON:0000965	lens	P1		YES		Taylor	yes
209	EXP_187	18508	54141	Pax6	Spag5	19132093	TF Perturbation	Primary Tissue	UBERON:0000965	lens	P1		YES		Taylor	yes
210	EXP_188	18508	20745	Pax6	Spock1	19132093	TF Perturbation	Primary Tissue	UBERON:0000965	lens	P1		YES		Taylor	yes
211	EXP_189	18508	233744	Pax6	Spon1	19132093	TF Perturbation	Primary Tissue	UBERON:0000965	lens	P1		YES		Taylor	yes
212	EXP_190	18508	12961	Pax6	Crybb2	21998302	TF Perturbation	Primary Tissue	UBERON:0000965	lens	E15.5		YES		Taylor	yes
213	EXP_191	18508	12962	Pax6	Crybb3	21998302	TF Perturbation	Primary Tissue	UBERON:0000965	lens	E15.5		YES		Taylor	yes
214	EXP_192	18508	12964	Pax6	Cryga	21998302	TF Perturbation	Primary Tissue	UBERON:0000965	lens	E15.5		YES		Taylor	yes
215	EXP_193	18508	12965	Pax6	Crygb	21998302	TF Perturbation	Primary Tissue	UBERON:0000965	lens	E15.5		YES		Taylor	yes
216	EXP_194	18508	12966	Pax6	Crygc	21998302	TF Perturbation	Primary Tissue	UBERON:0000965	lens	E15.5		YES		Taylor	yes
217	EXP_195	18508	12967	Pax6	Crygd	21998302	TF Perturbation	Primary Tissue	UBERON:0000965	lens	E15.5		YES		Taylor	yes
218	EXP_196	18508	12968	Pax6	Cryge	21998302	TF Perturbation	Primary Tissue	UBERON:0000965	lens	E15.5		YES		Taylor	yes
219	EXP_197	18508	12969	Pax6	Crygf	21998302	TF Perturbation	Primary Tissue	UBERON:0000965	lens	E15.5		YES		Taylor	yes
220	EXP_198	18508	21808	Pax6	Tgfb2	19132093	TF Perturbation	Primary Tissue	UBERON:0000965	lens	P1		YES		Taylor	yes
222	EXP_200	18508	19771	Pax6	Rlbp1	21996446	TF-DNA Binding	Primary Tissue	UBERON:0000956	cerebral cortex	E14.5		YES		Taylor	yes
223	EXP_201	18508	19771	Pax6	Rlbp1	21996446	TF-Reporter	Cell Line	CLO_0002421	CHO cells	Not Applicable		YES		Taylor	yes
224	EXP_202	18508	12954	Pax6	Cryaa	21524647	TF-Reporter	Cell Line	CLO:0008172	NIH-3T3	Not Applicable		YES		Taylor	yes
225	EXP_203	18508	13036	Pax6	Ctsh	19132093	TF Perturbation	Primary Tissue	UBERON:0000965	lens	P1		YES		Taylor	yes
226	EXP_204	18508	56847	Pax6	Aldh1a3	19132093	TF Perturbation	Primary Tissue	UBERON:0000965	lens	P1		YES		Taylor	yes
227	EXP_205	18508	26951	Pax6	Zw10	19132093	TF Perturbation	Primary Tissue	UBERON:0000965	lens	P1		YES		Taylor	yes
228	EXP_206	18508	218973	Pax6	Wdhd1	19132093	TF Perturbation	Primary Tissue	UBERON:0000965	lens	P1		YES		Taylor	yes
229	EXP_207	5080	5080	PAX6	PAX6	17251190	TF-Reporter	Cell LIne	CLO:0001230	HEK293	Not Applicable		YES		WIlson	
230	EXP_208	5080	5080	PAX6	PAX6	17251190	TF-DNA Binding	In vitro	Not Applicable	Not Applicable	Not Applicable		YES		WIlson	
