# List of cell type markers from snuc-RNAseq data for brain cell types
# Each column is labeled with a cell type and contains list of marker genes obtained from snuc-RNAseq data
#
#
#
Astrocyte	Endothelial	Microglia	Oligo	Pyramidal
LRP4	SCARB1	PLCB2	PLEKHH1	LZTFL1
MACF1	SDCBP	PLXDC2	PLLP	MAL2
MERTK	SERINC5	PTPRC	PLP1	MAP6
MICALL2	SERPINB6	RCSD1	PMP22	MAST3
MLC1	SHROOM1	RGS1	PPP1R14A	MBNL2
MROH7	SHROOM4	RGS10	PPP3CB-AS1	MEIS3
MRVI1	SKA2	RHBDF2	PREX1	MFSD4
MSI2	SLC16A4	RNASET2	PSEN1	MIR7978
MT1E	SLC2A1	RNF213	PTGDS	MIS18BP1
MT1F	SLC38A3	SAMSN1	PXK	MKL2
MT1G	SLC5A6	SELPLG	QDPR	MLIP
MT1M	SLC7A5	SLC2A5	QKI	MNAT1
MT1X	SLC7A5P2	SLCO2B1	RGCC	NAGPA
MT2A	SORBS3	SOCS6	RHOU	NDFIP2
MT3	SPARC	SP100	RNASE1	NEUROD6
MYO10	SPTBN1	SRGAP2	RNF130	NGEF
NCAN	SRGN	ST6GAL1	SCD	NIN
NDRG2	ST6GALNAC3	STAB1	SEMA3B	NIPAL2
NFATC4	STOM	SYK	SEPP1	NLK
NHSL1	SYNE2	TAL1	SEPT4	NNAT
OAF	SYNGR2	TBXAS1	SH3TC2	NPEPL1
OSGIN2	SYPL1	TFEC	SHC4	NPTX1
PAMR1	TANK	TMEM106A	SLAIN1	NRGN
PAPLN	TBC1D4	TMEM156	SLC12A2	NRN1
PDGFRB	TGFBR2	TMIGD3	SLC31A2	NUAK1
PFKFB2	TGFBR3	TNFRSF1B	SLC44A1	PAK1
PHYHD1	TIMP3	TREM2	SLC48A1	PART1
PIK3C2A	TJP1	TRMT1	SLC5A11	PCSK1
PLA2G5	TK2	TYROBP	SLCO1A2	PDP1
PLCG1	TM4SF1	USP53	SPP1	PEAK1
PLIN5	TMEM123	VASH1	ST18	PFN2
PLXNB1	TRIOBP	ZFP36L1	SUN2	PHACTR1
PON2	UACA	ZFP36L2	SVIP	PHYHIP
PPAP2B	UXT	ZNF710	SYS1-DBNDD2	PIGB
PRDM16	VIM		TBC1D2	PLEKHA6
PRDX6	WWTR1		TF	PPFIA2
PREX2	XAF1		TJAP1	PPP1R12A
PRODH	ZIC2		TMEM125	PPP1R21
PSAT1	ZNF354B		TMEM144	PPP3CA
PSD2	ZSCAN9		TMEM165	PTK2B
PTAR1			TMEM235	R3HDM1
RAB34			TMEM63A	RAB40B
RANBP3L			TMEM98	RAP1GAP
RAPGEF3			TRIM59	RAP2A
RBM28			TTYH2	RASAL2
RFX4			UGT8	RHOBTB2
RGS20			USP54	RIMS3
RHOJ			ZDHHC9	RNF144A
RIMKLB			ZFYVE16	RXFP1
RLBP1				SATB2
S100A13				SCHIP1
S100B				SEC14L5
SELENBP1				SH3GL2
SERPINI2				SKIL
SFXN5				SLC17A7
SH3BP2				SLC20A1
SLC14A1				SLC6A7
SLC15A2				SNTB2
SLC16A9				SPEF2
SLC1A2				SRPK1
SLC1A3				STAMBPL1
SLC25A18				STAT6
SLC25A26				STX1A
SLC25A29				STXBP5L
SLC39A12				SV2B
SLC3A2				SYNJ2
SLC4A4				SYNPO2
SLC7A11				SYT7
SLCO1C1				TACC1
SNTA1				TBR1
SOX2				TBRG1
SOX9				TESPA1
SPAG9				TMSB10
STON2				TMX3
STOX1				TNPO1
TJP2				TOLLIP
TP53BP2				TPD52
TPCN1				TTC9B
TPD52L1				TVP23CP2
TRIL				TYRO3
TTLL4				UNC13B
TTYH1				VIPR1
TULP3				VPS13A
ZFHX4				WASF1
ZHX3				YWHAH
ZMAT1				ZDHHC23
ZNRF3				ZNF365
				ZNF706
